who wrote the piece,subject,relevant_text,paragraphs,words,keywords,path
,Company Announcement,"Blackbaud (Nasdaq: BLKB) is the world’s leading cloud software company powering social good. When Mike Gianoni joined Blackbaud as president and CEO in 2014, he championed a formalized diversity and inclusion program for the company, including an Executive Women’s Community program. Today, the company has an equal gender balance in its workforce, and employee-led affinity groups like Women in Technology, Women in Sales, Black Employees Encouraging Diversity (BLEND), Pride@Blackbaud (LGBTQ) and Employees with Disabilities play a strong role in advancing an inclusive culture. Blackbaud also conducts regular unconscious bias workshops and gender-pay equity audits. | “The participants in the Top Companies for Women Technologists program continue to show an extreme commitment to improve diversity, inclusion and equality within their organizations,” said Michelle Russell, vice president of programs at AnitaB.org. “We are thrilled to recognize Bank of America, Blackbaud and ThoughtWorks this year, as these companies have ignited real change and demonstrated success across the representation, recruitment, retention, and advancement of their women technologists.” | “Women like Grace Hopper, Anita Borg and Katherine Johnson have shown us from the beginning of computing that women are great technologists,” said Catherine Bessant, chief operations and technology officer at Bank of America. “And yet, across every industry, we still need to improve the representation of women in the STEM disciplines. At Bank of America, we work every day, and have been for a long time, to move the needle on hiring and advancing women technologists. This award shows that our efforts are paying off, but more importantly inspires us to do even more. Greater diversity makes our team stronger and better able to serve our clients in every way.” | Blackbaud. ""Diversity of thought and experience always leads to better performance for our company and, most importantly, better solutions for our customers. We are proud to be recognized alongside other companies and leaders who are committed to helping women in technology succeed, and are also committed to continuing in the work we know we must do in every category of diversity.” | The Top Companies program began collecting race and ethnicity breakdowns of women technologists at participating organizations for the 2018 cycle. Because this is the first year we have access to this critical benchmarking data, we are not analyzing data from these findings at this time. We acknowledge that gender- diversity gains in the industry primarily benefit White and Asian women; Black/African American, Hispanic/Latinx, and Native American women continue to be significantly underrepresented. AnitaB.org encourages all employers to carefully track the representation of these groups to ensure equitable hiring and advancement opportunities.",5,"94, 68, 111, 61, 91","Diversity and Inclusion, diversity","003KRF, BLKB, BAC - AnitaB.org Recognizes Bank of America, Blackbaud and ThoughtWorks as 2018 Top Companies for Women Technologists - 26-Sep-18 - PMZ.pdf"
Verizon Wireless,"Contract/Agreement, Product/Service","Vermont Network Against Domestic Violence and Sexual Assault, Montpelier, VT. | About the Vermont Network Against Domestic Violence and Sexual Assault | New Hampshire Coalition Against Domestic and Sexual Violence, Concord, NH; | About the New Hampshire Coalition Against Domestic and Sexual Violence | The New Hampshire Coalition Against Domestic and Sexual Violence (NHCADSV) is a statewide network committed to ending sexual violence, domestic violence and stalking. The NHCADSV and its 14 member programs do not discriminate based on gender, age, health status (including HIV-positive), physical, mental, or emotional ability, sexual orientation, gender identity/expression, socio-economic status, race, national origin, immigration status, or religious or political affiliation. Online at www.nhcadsv.org. | As the statewide leader of the movement to end domestic and sexual violence, the Vermont Network is the collective voice for social change on behalf of domestic and sexual violence survivors. | Verizon Wireless Partners with Statewide Coalitions Throughout New England to Raise Awareness of Resources for Victims of Domestic Violence  Friday, October 26, 2012 06:00:00 PM (GMT) | Verizon Wireless announced today they have partnered with statewide coalitions across New England to produce Public Service Announcements highlighting resources and toll-free hotlines for victims of domestic violence. The hotlines provide crisis support, information and referrals. Partners include: | Connecticut Coalition Against Domestic Violence (CCADV), Wethersfield, CT; | Maine Coalition to End Domestic Violence (MCEDV), Augusta, ME; | Rhode Island Coalition Against Domestic Violence (RICADV), Warwick, RI; and | The awareness campaign also informs communities about how they can support domestic violence survivors through cell phone recycling. With funds generated by recycling cell phones, batteries and accessories contributed by the community, Verizon Wireless’ HopeLine® program donates new phones, free airtime and financial grants to domestic violence agencies in New England and across the United States. In 2011, HopeLine provided $145,000 in cash grants, 2,800 phones and eight million minutes to local domestic violence agencies throughout New England. HopeLine phones provide victims of domestic violence a lifeline to law enforcement, advocates, employers, landlords and loved ones. | “By partnering with all six New England-based coalitions to produce these Public Service Announcements, we aim to shine a brighter light on the resources available to victims of domestic violence,” commented Christine Berberich, New England Region President for Verizon Wireless. “We’re very grateful to the New Englanders who recycle through HopeLine – together we’re providing a confidential means for victims to stay in touch with their support systems through extraordinarily difficult times.” | Listing of Statewide Hotlines for Support of Victims of Domestic Violence | Additionally, by dialing #HOPE from any Verizon Wireless phone, victims of domestic violence are able to access professional support quickly and confidentially. The toll- and airtime-free call is routed to the National Domestic Violence Hotline (1-800-799-SAFE). | Each year, Verizon Wireless partners with local non-profit organizations in the New England region that support victims of domestic violence. In 2011, HopeLine supported community programs including: therapy for childhood victims of trauma, 24-hour emergency hotlines, court advocates, teen dating violence prevention, education and transitional housing support. | Verizon was the first wireless carrier in the nation to collect and recycle old cell phones, and has done so on behalf of survivors of domestic violence since January 1999. Since 2001, HopeLine has collected more than | About the Connecticut Coalition Against Domestic Violence | The Connecticut Coalition Against Domestic Violence (“CCADV”) is the state’s leading voice for victims of domestic violence and those who serve them. CCADV and its 18 member agencies – which help 54,000 victims annually – works to strengthen Connecticut’s response to victims through strong policy, intervention, prevention and public awareness initiatives. | Jane Doe, Inc. (JDI) is a coalition of 60 local member programs in Massachusetts working together with allies to find lasting solutions that promote the safety, liberty, and dignity for victims and survivors of sexual and domestic violence. JDI works for social change to help create a world free of violence and abuse. | About the Maine Coalition to End Domestic Violence | The Maine Coalition to End Domestic Violence (MCEDV) is a statewide network committed to creating and encouraging a social, political, and economic environment in which domestic violence no longer exists, and ensuring that all people affected by domestic abuse and violence are supported and that batterers are held accountable. MCEDV mobilizes and coordinates community action through a statewide network of domestic violence projects. Through these partnerships, they focus their resources on public policy, education, and systems advocacy. | About the Rhode Island Coalition Against Domestic Violence | The purpose of the Rhode Island Coalition Against Domestic Violence is to eliminate domestic violence in Rhode Island. Their mission is to support and enhance the work of member agencies, and to provide leadership on the issue of domestic violence.",24,"10, 10, 10, 10, 65, 31, 26, 38, 8, 9, 10, 96, 72, 11, 36, 47, 37, 7, 51, 53, 8, 77, 8, 40","sexual violence, domestic violence, sexual assault","0040FQ, VOD, VZ - Verizon Wireless Partners with Statewide Coalitions Throughout New England to Raise Awareness of Resources for Victims of Domest... - 26-Oct-12 - BW.pdf"
,Environmental News,"About Bank of America Charitable Foundation At Bank of America, corporate social responsibility (CSR) is critical to fulfilling our core purpose of making people's financial lives better. A commitment to growing our business responsibly is embedded in every aspect of our company, from our policies and practices to our services, products, governance and employee benefits. An important part of that commitment is forming strong partnerships across sectors, including nonprofit organizations serving community needs, bringing our collective networks and expertise to achieve greater impact. We're proud of our employees' volunteer efforts, support of diversity and inclusion, and environmental and social responsibility. Across our company, we're focused on simplifying banking and investing, advancing better money habits and making an impact in communities around the world. www.bankofamerica.com/about @BofA_News",1,125,Diversity and Inclusion,"05LNKJ, BAC, 0813YV - U.S. Education Leaders Release National Plan to Prepare Millions of Community College Students for New, Clean Economy Workf... - 19-Jan-16 - INW.pdf"
The Body Shop,"Economy, Business, Finance, Business (General), New Products, Joint Ventures, Licensing, Patents",The new store location also features an activism corner where consumers can discover the brand's activist roots as well as campaign for social change around issues ranging from gender equality to fighting cosmetic animal testing. Consumers can also find out how they can get involved and take a stand with The Body Shop's global and local collective of fearless activists.,1,60,gender equality,"05MY26, NTCO3, 061Q7N - The Body Shop Canada Opens New Vancouver Concept Store - 05-Mar-20 - CNW.pdf"
,,"""So often when people talk about supporting the LGBT community, the 'T' is an afterthought,"" said Sonya Kunkel, Director of Diversity and Inclusion, BMO Financial Group. ""Our employee group, BMO Pride, recognized this and took it upon themselves to increase BMO's awareness of the experiences and needs of Trans-identified customers and employees. This all comes back to our vision, to be the bank that defines great customer experience.""",1,68,Diversity and Inclusion,"05VDLJ, BMO - BMO Encouraged to Continue Its Efforts to Further Transgender Awareness Throughout the Bank - 18-May-12 - INW.pdf"
BMO Financial Group,,"40 per cent of senior leadership roles are held by women 36 per cent of independent Board roles are held by women More than one quarter of senior roles are held by Minorities or Persons of Color Our commitment to diversity aligns with our pursuit of sustainable business opportunities, such as our lending commitment of $3 Billion in new funds to companies led by women entrepreneurs BMO's commitment to diversity and inclusion has been recognized by many leading organizations including by the Bloomberg Gender Equality Index, The Human Rights Campaign Foundation (as a best LGBT employer), and Thomson Reuters | Central to BMO's approach to fostering an ethical culture is its commitment to acting responsibly and being a powerful tool for promoting social good. Being a responsible bank means weighing the impact of every decision, everywhere BMO does business. Throughout the company's 202 year history, its culture has embraced building more robust communities, protecting the environment, fostering diversity and inclusion within its teams and communities, and driving social and economic well-being. | BMO's Commitment to Diversity and Inclusion Diversity and inclusion are core BMO values that guide its thinking and actions as they are integral to the company's long-term sustainability. BMO's approach on diversity is all encompassing and includes diversity of thought, approach, gender, race, age, ability and sexual orientation, and more. | BMO's dedicated focus on diversity and inclusion has helped the bank achieve important results:",4,"99, 71, 50, 14","gender equality, Diversity and Inclusion","05VDLJ, BMO - BMO Named One of the World's Most Ethical Companies by the Ethisphere Institute for the Second Year in a Row - 14-Mar-19 - CNW.pdf"
,ANALYSTS' COMMENTS,"Creating the BMO Fossil Fuel Free Fund, which aims to provide long-term growth of capital by investing in a globally diversified portfolio of equity securities that excludes companies primarily involved in extracting and refining fossil fuels Providing more than US$652.9 million in community development loans to support economic development, community service and quality affordable housing in the United States Launching an impact investing mutual fund focused on gender diversity - the BMO Women in Leadership Fund Raising approximately $2.4 billion of equity and debt in the capital markets for entities active in renewable energy power generation in North America in fiscal 2016: Contributing more than $57 million in donations to non-profit organizations across North America Maintaining Carbon Neutrality across the enterprise since 2010 | BMO was recently recognized with the 2017 Catalyst Award and is listed among the 2017 Global 100 Most Sustainable Corporations in the World and Corporate Knight's Best 50 Corporate Citizens in Canada (2016). BMO is also listed on several key sustainability indices, including: Dow Jones Sustainability North America Index, Bloomberg Financial Services Gender-Equality Index, Jantzi Social Index, and FTSE4Good Series Index.",2,"123, 61","diversity, gender-equality","05VDLJ, BMO, 061N6K... - BMO Financial Group 2016 Environmental, Social and Governance Report and Public Accountability Statement Now Available O... - 01-Feb-17 - INW.pdf"
,Media Advisory,"Karen Hartley, Senior Vice President, Recruitment and Intake, BMO Financial Group, will speak about BMO's diversity and inclusion strategy, and the innovative approaches it is taking to expand the representation of Aboriginal employees in BMO's workforce.",1,36,Diversity and Inclusion,"05VDLJ, BMO, 06WYDL - Media AdvisoryInterview & Photo Opportunity Education Must Change to Support Aboriginal Youth Indspire CEO to Address BM... - 15-May-12 - INW.pdf"
Bank of America,Corporate Social Responsibility,"“Women can be powerful drivers of economic development, improving lives for individuals, families and communities,” said Candace Browning, head of global research at Bank of America Merrill Lynch and a Global Ambassador in India. “There is a strong correlation between gender equality and a country’s GDP per capita as well as its level of competitiveness. Ultimately, empowering women results in a more efficient use of a country’s human capital.”",1,69,gender equality,"06N09Y, BAC, 0CFJQN... - Bank of America and Vital Voices Promote Economic Growth in India Through Global Ambassadors Program - 16-Oct-12 - BW.pdf"
United States Hispanic Chamber of Commerce,"Corporate Social Responsibility, Human Interest Groups","WASHINGTON, Feb. 6, 2012 /PRNewswire-USNewswire/ -- The United States Hispanic Chamber of Commerce (USHCC) recognizes AT&T, which earned the highest rating from the Hispanic Association on Corporate Responsibility (HACR) 2011 Corporate Inclusion Index. The index rates Hispanic diversity and inclusion practices in the areas of workforce, procurement, philanthropy and governance.  AT&T was one of only two companies – and the only telecommunications company nationwide – to receive a 95 rating, the highest in HACR's index this year. | As a standing member of the Billion Dollar Roundtable, an accolade achieved by those spending over  $1 billion with minority and woman-owned suppliers, AT&T's commitment to Hispanic diversity and inclusion also includes: | ""This recognition of AT&T by HACR reaffirms the company's long standing position as a leader in diversity, especially as it relates to Hispanics,"" says USHCC President & CEO Javier Palomarez . ""Our Hispanic Business Enterprises (HBEs) have experienced this firsthand, benefiting from procurement opportunities with AT&T. Once again, this company demonstrates that it not only does what is right, but understands that diversity is smart business, too.""   | Palomarez points to the rising Hispanic population – now 16% of the U.S. population – an important statistic for corporations to keep in mind at a time when companies are being challenged to structure their leadership to reflect the wealth of diversity in America. | ""The USHCC congratulates AT&T for making diversity a part of its best practices and we look forward to continued commitment in this important segment of the company's business strategy,"" adds Palomarez. | A 12 percent representation of Hispanics in the AT&T  workforce.  Award-winning Employee Resource Group, HACEMOS (the Hispanic/Latino Employee Association of AT&T). A top-rated global  supplier diversity program  that spent more than $9.2 billion with minority, women and disabled-veteran suppliers in 2010. Strong focus on the Hispanic Consumer Market , which includes converting more than 700 retail stores in high-density Hispanic markets including California, Florida, New York  and Texas to a bilingual (Spanish/English) format. A strong advertising investment in Hispanic media . Support of the Hispanic community  by investing resources to advance education, strengthen communities and improve lives. In 2010, AT&T contributed more than $148 million to the diverse communities it serves through corporate, employee and AT&T Foundation giving. Significant representation of Hispanics in the company's  most senior ranks  including Ralph de la Vega, president and CEO of AT&T Mobility and Consumer Markets;  Thaddeus Arroyo, chief information officer; Jose Gutierrez, president, advertising and publishing; Carmen Nava, senior vice president-Consumer Marketing; Angie Wiskocil, senior vice president,  Wi-Fi services; and Jaime Chico Pardo, AT&T Board of Directors.",6,"77, 32, 67, 44, 31, 174","Diversity and Inclusion, diversity","0775LJ, T, 073FJL... - USHCC Applauds AT&T's Commitment to Hispanic Inclusion - 06-Feb-12 - PRN.pdf"
