identifier,headline,date,source,who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords
"BARC, BCS",Antony Jenkins appointed as Group Chief Executive,30-Aug-12,NEWS_CR,,,"  Key Compensation arrangements for Antony Jenkins     Antony Jenkins’ compensation arrangements will reflect his new responsibilities.  The  compensation arrangements have been benchmarked against a peer group of global  universal banks, industrial companies and financial services institutions.  From 30  August 2012, Mr Jenkins’ annual salary will be £1,100,000 and his annual incentive  award opportunity will be up to a maximum of 250% of salary.  For 2012, any  incentive award made to Mr. Jenkins will reflect his performance as Group Chief  Executive following appointment and his performance as Chief Executive of Retail and  Business Banking prior to appointment.  Mr Jenkins will be eligible to be considered for  the grant of an award under the Barclays LTIP with a total maximum market value in  any one year of an amount up to 400% of salary as at the date of grant. It is  anticipated that the next LTIP award will be for the performance period that  commences 1 January 2013.      Mr Jenkins’ existing participation in long term incentives linked to divisional  performance are no longer appropriate to his new role and will be brought to an end.  The equivalent value of these arrangements will be made as awards with the same  vesting date over Barclays shares under the Barclays Share Value Plan and the Barclays  LTIP for the performance period 2012-14.     Mr Jenkins will be eligible to receive a cash allowance in lieu of pension of 33% of his  salary, per annum.      Antony Jenkins biography    Antony Jenkins is Chief Executive of Retail and Business Banking and joined the  Barclays Executive Committee in November 2009.  Prior to that he had been Chief  Executive of Barclaycard since January 2006.  Mr Jenkins is the executive responsible  for Diversity and Inclusion at Barclays and in February 2009, he became a Barclays  appointed non-executive director of Absa, the South African banking group.      From 2008 to 2011, Mr Jenkins was on the Board of Visa Europe Ltd.  He is a member  of the steering group for the Big Innovation Centre, an initiative of the Work  Foundation and Lancaster University, and is closely involved with a number of charities  as well as being a Patron for Government Employee Engagement.    Barclays is where Mr Jenkins started his career in finance back in 1983, when he  completed the Barclays Management Development Programme before going on to  hold various roles in retail and corporate banking.  He moved to Citigroup in 1989,  working in both London and New York.   ",1,404,Diversity and Inclusion
BK,"As Concerns of Geopolitical Risk Endure, United States Viewed as Most Resilient Global Financial Center, According to the 11th Edition of BN...",21-Nov-17,PRN,BNY Mellon,,"The role of an IR professional continues to evolve and increase in strategic importance, and this year's research also highlights major trends and issues in IR to help the issuer community best prepare for the future. This includes insights into gender equality in the IR profession based on the gender profile of survey respondents and how IR professionals are reacting to critical market developments, including the growth of passive and environmental, social and corporate governance (ESG) investing. Companies also noted that changing shareholder structure, for example, passive versus active investment, will be the number one influence on the function of investor relations over the next 10 years. Additional key findings from the ""2017 Global Trends in Investor Relations"" report include: | Gender Equality  (based on the gender profile of survey respondents):",2,"120, 10",gender equality
"BARC, 0CXD9N",Barclays Partners With Anthemis to Found Female,led FinTech Businesses in the US - 19-Sep,19,Barclays,"Contract/Agreement, Product/Service","“A commitment to diversity has been a core part of Anthemis’ DNA since our inception. Even so, we’ve seen a disappointing number of venture-backable companies led by women come through our pipeline. 15% of the startups in our current portfolio have female founders. While that is well over the industry average, it’s not enough. We are thrilled to work with a partner who shares our mission to close the entrepreneurship gender gap in FinTech, making sure that women’s ideas get the encouragement, mentorship, and, ultimately, funding they deserve.” | Female Innovators Lab a new Fin Tech studio to drive greater diversity and inclusion | Despite female-founded startups outperforming their male counterparts in terms of revenue1 according to research by Pitchbook2, in 2017, just over 2% of venture capital funding went to all-female startup teams. As two leaders in the FinTech community, Barclays and Anthemis have joined forces to launch the Female Innovators Lab, which is aimed at bridging this gap. The partnership will drive greater diversity and inclusion in FinTech. | “By supporting female entrepreneurs at the earliest stage in their journey, I am hopeful that we can significantly improve diversity in the wider FinTech investment ecosystem. In addition to the close alignment with Barclays’ wider strategy on diversity and inclusion across the bank, our partnership with Anthemis will continue to drive innovation and open up opportunities for Barclays and our colleagues, clients and customers.”",4,"88, 14, 66, 64","Diversity and Inclusion, gender gap"
BARC,Barclays Plc(BARC,GB) Schedules Q2 2019 Earnings Call - Fixed Income for 1-August,2019 1000 AM ET,,,,0,0,
"BARC, BCS","Barclays, Teach For America",New York and the NYC Department of Education Partner to Bring Teachers to See Hamilton - 13-Feb,17,Barclays,"Product/Service, Nonprofit","“This support from Barclays demonstrates how we leverage private funds to respond quickly and strategically to emerging needs, such as supporting diversity and inclusion in the classroom,” explained Sarah Geisenheimer, Executive Director of The Fund for Public Schools. “We are pleased to participate in this initiative to provide teachers with the training and tools necessary to bring the spirit of Hamilton into the classroom.” | New York City (NYC) public school teachers, including 200 Teach For America – New York corps members, will attend the evening performance of Hamilton: An American Musical. The unique opportunity to celebrate this community of teaching professionals is part of a fundraiser to benefit Teach For America – New York, a nonprofit organization that expands educational opportunity for children facing the challenges of poverty. The event and training is made possible through a partnership with Barclays as part of its commitment to supporting innovation, diversity and preparing the next generation for the jobs of tomorrow. | In addition to raising critical funds to support its mission, by pairing the opportunity to attend the show, which is sold out for months, with training that helps teachers understand and respond to different cultures, the event advances Teach For America – New York’s commitment to diversity, equity and inclusiveness as key characteristics of an excellent education and culturally responsive pedagogy.",3,"64, 95, 61","Diversity and Inclusion, diversity"
BBBY,Bed Bath & Beyond Inc. Announces $1 Million Product Donation to NAACP Empowerment Programs,12-Jun-20,PRN,Bed Bath & Beyond Inc.,"Corporate Social Responsibility, Human Interest Groups","""A commitment to diversity and inclusion is at our core, but we recognize that we can and must do more. As we reflect on recent events, we pledge to continue listening, learning, and improving the way we support diversity and the communities we serve in the future,"" added Tritton.",1,49,Diversity and Inclusion
"05M29J, BRK.B",Berkshire Hathaway HomeServices PenFed Realty Welcomes Top Producers to Ocean Pines Office,29-Apr-19,PRN,Berkshire Hathaway HomeServices PenFed Realty,,"Berkshire Hathaway HomeServices PenFed Realty (http://www.penfedrealty.com) is a full-service real estate company with an annual sales volume of almost $5 billion. The company has 1,800 agents and more than 50 offices, providing complete real estate services nationwide. PenFed Realty is a wholly-owned subsidiary of PenFed Credit Union and is a member of the Berkshire Hathaway HomeServices brokerage network, operated by HSF Affiliates LLC. We are proud to be an equal employment opportunity employer. Equal Housing Opportunity.",1,76,Equal Employment Opportunity
BRK.B,"Berkshire Hathaway, Inc.(BRK.B",US) Schedules Annual General Meeting for 5-May-2018 945 AM ET,22,,,,0,0,
BBY,"Best Buy Co., Inc.(BBY",US) Schedules Investor Meeting for 25-September-2019 1000 AM ET,2,,,,0,0,
BBY,Best Buy Intensifies Efforts to Help Underserved Youth Bridge the Nation's Technology Gap,17-Mar-16,BW,Best Buy,"Contract/Agreement, Product/Service, Photo/Multimedia, Nonprofit","technology as a means to improve virtually every aspect of our lives,” said Susan Bass Roberts, senior director of Community Relations, Diversity & Inclusion at Best Buy. “We are committed to giving underserved youth access to the tech training and tools they need to further their education and careers. Together, we believe we can help nurture and inspire a new generation of engineers, entrepreneurs, teachers, designers, artists and dreamers.”",1,69,Diversity & Inclusion
