who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
United States Hispanic Chamber of Commerce,"Corporate Social Responsibility, Human Interest Groups","WASHINGTON, Feb. 6, 2012 /PRNewswire-USNewswire/ -- The United States Hispanic Chamber of Commerce (USHCC) recognizes AT&T, which earned the highest rating from the Hispanic Association on Corporate Responsibility (HACR) 2011 Corporate Inclusion Index. The index rates Hispanic diversity and inclusion practices in the areas of workforce, procurement, philanthropy and governance.  AT&T was one of only two companies – and the only telecommunications company nationwide – to receive a 95 rating, the highest in HACR's index this year. | As a standing member of the Billion Dollar Roundtable, an accolade achieved by those spending over  $1 billion with minority and woman-owned suppliers, AT&T's commitment to Hispanic diversity and inclusion also includes: | ""This recognition of AT&T by HACR reaffirms the company's long standing position as a leader in diversity, especially as it relates to Hispanics,"" says USHCC President & CEO Javier Palomarez . ""Our Hispanic Business Enterprises (HBEs) have experienced this firsthand, benefiting from procurement opportunities with AT&T. Once again, this company demonstrates that it not only does what is right, but understands that diversity is smart business, too.""   | Palomarez points to the rising Hispanic population – now 16% of the U.S. population – an important statistic for corporations to keep in mind at a time when companies are being challenged to structure their leadership to reflect the wealth of diversity in America. | ""The USHCC congratulates AT&T for making diversity a part of its best practices and we look forward to continued commitment in this important segment of the company's business strategy,"" adds Palomarez. | A 12 percent representation of Hispanics in the AT&T  workforce.  Award-winning Employee Resource Group, HACEMOS (the Hispanic/Latino Employee Association of AT&T). A top-rated global  supplier diversity program  that spent more than $9.2 billion with minority, women and disabled-veteran suppliers in 2010. Strong focus on the Hispanic Consumer Market , which includes converting more than 700 retail stores in high-density Hispanic markets including California, Florida, New York  and Texas to a bilingual (Spanish/English) format. A strong advertising investment in Hispanic media . Support of the Hispanic community  by investing resources to advance education, strengthen communities and improve lives. In 2010, AT&T contributed more than $148 million to the diverse communities it serves through corporate, employee and AT&T Foundation giving. Significant representation of Hispanics in the company's  most senior ranks  including Ralph de la Vega, president and CEO of AT&T Mobility and Consumer Markets;  Thaddeus Arroyo, chief information officer; Jose Gutierrez, president, advertising and publishing; Carmen Nava, senior vice president-Consumer Marketing; Angie Wiskocil, senior vice president,  Wi-Fi services; and Jaime Chico Pardo, AT&T Board of Directors.",6,"77, 32, 67, 44, 31, 174","diversity, Diversity and Inclusion","0775LJ, T, 073FJL... - USHCC Applauds AT&T's Commitment to Hispanic Inclusion - 06-Feb-12 - PRN.pdf"
Kraft Heinz Canada,,,0,0,,"0GGGYZ, KHC - Iconic '90s Canadian Philly Angel Announces Search for Successor - 26-Feb-20 - CNW.pdf"
WarnerMedia,"Photo/Multimedia, Product/Service, Event","Directed and produced by Kirby Dick and Amy Ziering (The Hunting Ground, The Invisible War ), and first reported by the New York Times , On The Record  presents the powerful haunting story of music executive Drew Dixon (collaborator on hit records by Method Man and Mary J. Blige, Estelle and Kanye West, and Whitney Houston) as she grapples with her decision to become one of the first women of color, in the wake of #MeToo, to come forward and publicly accuse hip-hop mogul Russell Simmons of sexual assault. | The documentary, which premiered at the 2020 Sundance Film Festival to rave reviews, chronicles not only Dixon’s story but that of several other accusers – Sil Lai Abrams, Sheri Sher– delving deeply into the ways women of colors’ voices are all too often silenced and ignored when they allege sexual assault; as well as",2,"89, 54",sexual assault,"0JMVQS, T, 05M27X - HBO Max to Launch May 27th - 21-Apr-20 - BW.pdf"
,"Articles, Reports, Media Summaries  Related Stories:","The column says that separating itself from Steve Wynn and his alleged sexual misconduct -- combined with partnering with Galaxy's local ties -- makes it more likely that Wynn the company will have its Macau license renewed, and Galaxy is probably making it harder for Las Vegas Sands or MGM Resorts to buy Wynn.",1,54,sexual misconduct,"1128, 27, LVS... - WSJ's Heard on the Street column is positive on Wynn Resorts-Galaxy Entertainment partnership - 23-Mar-18 - SA.pdf"
Sands China Ltd.,"Corporate Social Responsibility, Not For Profit Organizations","The company's formal policy for preventing discrimination and sexual harassment was established in July. It seeks to promote a culture of respect and equity, and has a no tolerance policy on any type of harassment or discrimination. The policy further ensures that appropriate action is taken in cases where accusations of harassment or discrimination are made by or against team members. | ""Establishing and maintaining a positive workplace is essential for any business, and our company believes in providing an inclusive environment where discrimination and harassment are not tolerated, and respect and consideration are the norm,"" said Dr. Wilfred Wong, president of Sands China Ltd. ""With our diversity of team members, we strive to make Sands China a company where we value and respect individual cultural differences, and give equal opportunities for career advancement to all of our more than 28,000 team members.""",2,"61, 81","sexual harassment, diversity","1928, LVS, SCHYY - Sands China Takes the Lead in Launching Respectful and Equitable Workplace Training for Team Members - 08-Oct-18 - PRNA.pdf"
Food Lion,Survey,"""At Food Lion, we are proud of our diverse and inclusive workforce representative of the towns and cities we serve,” said Millette Granville, Vice President, Talent, Diversity & Inclusion & Organization Development at Food Lion. ""We’re honored to receive a top score for the 10th year and remain committed to being a Best Place to Work for LGBTQ equality.”",1,59,Diversity & Inclusion,"AD, 05M83P - Food Lion Earns Top Marks in 2019 Corporate Equality Index - 05-Apr-19 - BW.pdf"
Food Lion,Contract/Agreement,"“Food Lion is honored to continue our partnership with the CIAA as a way to show our support to the communities in our footprint surrounding the 12 CIAA schools,” said Millette Granville, Director of Diversity for Food Lion. “We have partnered with the CIAA for 24 years, and our partnership with the CIAA is a strategic alliance that supports their commitment to education, men's and women's athletics, and diversity and inclusion. We look forward to adding events for CIAA fans and our customers.”",1,83,Diversity and Inclusion,"AD, 05M83P, 07S81F - Food Lion Renews Three-Year Corporate Partner Agreement With CIAA - 21-Dec-17 - BW.pdf"
Ahold USA,Human Interest Groups,"""At Ahold  USA, we strive to represent the many diverse communities we serve, and we are proud to support the LGBTQ community throughout the entire organization,"" said Subarna Malakar , vice president, global diversity and inclusion. ""It's truly an honor to receive a perfect score on the Corporate Equality Index and we know our associates are proud of this important accomplishment.""",1,61,Diversity and Inclusion,"AD, 05MR69 - Ahold USA Earns Top Marks In 2018 Corporate Equality Index - 09-Nov-17 - PRN.pdf"
Food Lion,Product/Service,"Food Lion Announces New Six-Week Paid Parental Leave Benefit  Wednesday, September 11, 2019 01:30:00 PM (GMT) | Food Lion announced today that beginning Jan. 1, 2020, the retailer will offer a paid parental leave benefit to all full-time associates. | With this benefit, associates of any gender may take six weeks of paid parental leave within the first 12 months of a child’s birth, adoption or other legal, custodial placements. | The paid parental leave benefit will be eligible to all full-time Food Lion associates with at least one year of continuous service with the company as of the date their child is born, adopted or placed with an associates’ family or the date the placement was finalized.",4,"16, 22, 30, 47",parental leave,"AD, ADRNY - Food Lion Announces New Six-Week Paid Parental Leave Benefit - 11-Sep-19 - BW.pdf"
,"Conjecture, Media Summaries, Barron's Summary, Published Reports","Trader Extra:  Positive on Dollar Tree (DLTR), whose valuation is at a five-year low; The company looks likely to bounce back from its acquisition of Family Dollar, which has dragged on results; If not, an activist investor like Carl Ichan could get involved to force more drastic action. Trader Extra:  Former  Wynn Resorts (WYNN) CEO Steve Wynn, who resigned after sexual misconduct allegations, sold his entire $2.1B interest in the company in March; The well-timed sale saved him $900M.",1,79,sexual misconduct,"ARRS, BA, BATRA... - Barron's Summary  - - 10-Nov-18 - SA.pdf"
dailystocktracker.com,Investment Opinions,"On November 07th, 2017, Carnival announced that it was recognized as a top organization supporting the advancement of women's leadership and diversity in the workplace as part of the Catalyst CEO Champions for Change (""Catalyst Champion"") initiative. Made up of a collective of more than 50 high-profile global CEOs, the Catalyst Champion initiative helps promote diversity, inclusion, and gender equality within leading organizations, while driving change designed to accelerate the advancement of women into leadership. Free research report on CCL is available at: http://dailystocktracker.com/registration/?symbol=CCL",1,84,gender equality,"CCL, HGV, LVS... - Pre-Market Technical Recap on Resorts & Casinos Stocks -- Carnival, Hilton Grand Vacations, Las Vegas Sands, and Royal Caribbe... - 09-Nov-17 - PRN.pdf"
The Estée Lauder Companies Inc.,Product/Service,"Paid Parental Leave Policy Expanded to 20 Weeks | The Estée Lauder Companies Inc. (NYSE:EL), the global leader in prestige beauty, today announced new and enhanced family-related programs, policies and benefits for its diverse employee base in the U.S. Effective May 1, 2018, Paid Parental Leave will be expanded to 20 weeks and an enhanced flexibility policy for parents returning to work will be implemented. The policies apply to all eligible employees, irrespective of gender. The company will also be adding or enhancing benefits around adoption, child and elder care, and infant transition support. These policies, which are among the most comprehensive in the United States, underscore The Estée Lauder Companies’ continued commitment to being one of the nation’s leading global employers. | Paid Parental Leave and Back-to-Work Flexibility Policies : Eligible employees, irrespective of gender and including parents adopting or fostering children, will be able to take 20 weeks of Paid Parental Leave at full pay and six weeks of back-to-work flexibility to allow all working parents to bond with their new child(ren) and transition back to work. This benefit is in addition to the Short Term Disability benefits typically available to mothers for six to eight weeks following childbirth.",3,"8, 113, 78",parental leave,EL - The Estée Lauder Companies Announces Bold Family-Related Benefits to Meet the Diverse Needs of Its Employees - 25-Apr-18 - BW.pdf
The Estée Lauder Companies Inc.,Contract/Agreement,"Since 1996, AFESIP Cambodia has combated sexual slavery in Southeast Asia by rescuing victims of human trafficking and providing recovery and skills training to help foster the economic empowerment of its survivors. AFESIP’s Center for Recovery and Skills Training in Siem Reap offers a beauty-training program and small business management program to equip survivors with the education and tools that can boost their position in the community, remove stigmas and encourage gender equality.",1,73,gender equality,EL - The Estée Lauder Companies Partners with Somaly Mam Foundation and AFESIP to Launch the Somaly Mam Beauty Salon in Cambodia - 11-Oct-13 - BW.pdf
The Estée Lauder Companies Inc.,"Corporate Social Responsibility, Product/Service, Survey","The report entitled, “Inspired by Beauty, Driven by Our Values,” underscores the company’s progress and commitment to strengthening efforts across core citizenship and sustainability focus areas and highlights key milestones demonstrating industry leadership in inclusion and diversity (I&D) practices. “As we continue to deliver on our promise to create the world’s most beloved products and experiences, we believe that embedding citizenship and sustainability across our business reflects the value we place on long-term, sustainable growth,” said Fabrizio Freda, President and Chief Executive Officer of The Estée Lauder Companies Inc. “This year, we took important steps to more formally integrate these longstanding principles into our strategy and across our entire business.” | Responsible Sourcing: In line with its 2025 goal to address issues that may exist within complex supply chains, the company reviewed and prioritized more than 4,000 ingredients considered sensitive from a responsible sourcing perspective and began developing and implementing biodiversity and social action plans. In fiscal 2019, the company implemented a new process to monitor existing supplier performance via the EcoVadis tool and became the first prestige beauty company to fund the HERproject - a program aimed at unlocking the full potential of women in global supply chains. | Inclusion & Diversity: The company’s efforts within inclusion and diversity (I&D) continued in fiscal 2019. The Human Rights Campaign (HRC) recognized the company as a “Best Place to Work for LGBTQ Equality” following a perfect score of 100% on HRC’s 2019 Corporate Equality Index3. And the company received several notable media recognitions: | Named Forbes’ “#1 Employer for Women 2019 (July 2019) Recognized within Forbes’ “Best Employers for Diversity 2019” Named to 2019 Bloomberg Gender-Equality Index for the second consecutive year",4,"110, 88, 52, 28",diversity,EL - The Estée Lauder Companies Releases Fiscal 2019 Corporate Responsibility Report Highlighting Progress on Citizenship and Sustainability Goals - 08-Nov-19 - BW.pdf
,,,0,0,,"EL - The Estée Lauder Companies, Inc.(EL-US) Schedules Annual General Meeting for 13-November-2018 1000 AM ET - 31-Jul-18 - FCSTEV.pdf"
,,,0,0,,"EL - The Estée Lauder Companies, Inc.(EL-US) Schedules Annual General Meeting for 15-November-2019 1000 AM ET - 18-Apr-19 - FCSTEV.pdf"
,,,0,0,,"EL - The Estée Lauder Companies, Inc.(EL-US) Schedules Investor Day for 6-March-2019 830 AM ET - 31-Jul-18 - FCSTEV.pdf"
,,,0,0,,"EL - The Estée Lauder Companies, Inc.(EL-US) Schedules Q3 2021 Earnings Call for 3-May-2021 930 AM ET - 20-May-20 - FCSTEV.pdf"
,,,0,0,,"EL - The Estée Lauder Companies, Inc.(EL-US) Schedules Q4 2019 Earnings Call for 19-August-2019 930 AM ET - 17-May-18 - FCSTEV.pdf"
The Kroger Co.,,"Kroger Announces Appointment of Chief Diversity Officer   Monday, June 13, 2011 02:00:00 PM (GMT) | CINCINNATI, June 13, 2011 /PRNewswire/ -- The Kroger Co. (NYSE: KR) announced today that  Reuben Shaffer has been appointed Chief Diversity Officer, effective immediately. Mr. Shaffer will report to Kroger's Chairman and Chief Executive Officer, David B. Dillon. | ""Diversity is a core value at Kroger,"" said  David B. Dillon, Kroger chairman and CEO. ""We take our commitment to diversity seriously, both because it is right and because it makes us better at our business. When our decision-making is inclusive and reflects the diversity of our customers, we make better decisions. We look forward to Reuben applying his broad experience and deep understanding of Kroger values in this important area."" | Mr. Shaffer will oversee Kroger's comprehensive diversity initiatives, including supplier diversity and integrating the company's ongoing commitment to create an inclusive culture into key business and organization initiatives.",4,"14, 38, 71, 28","diversity, Chief Diversity Officer",KR - Kroger Announces Appointment of Chief Diversity Officer - 13-Jun-11 - PRN.pdf
The Kroger Co.,,"Mr. Vemuri is a member of the CEO Action for Diversity & Inclusion. He holds a Bachelor of Science degree from St. Stephen's College, Delhi, and received his MBA from the Indian Institute of Management, Ahmedabad.",1,36,Diversity & Inclusion,KR - Kroger Announces Ashok Vemuri Elected to Kroger Board of Directors - 24-Jan-19 - PRN.pdf
The Kroger Co.,Human Interest Groups,"Diversity and inclusion are key parts of Kroger's core values. As the company continues to expand, it is committed to ensuring that the diversity of America's population is reflected in its business operations and associate talent. Kroger has an African-American associate resource group and is a member of the Billion Dollar Roundtable. Kroger was named one of the top eight U.S. corporations for inclusion by OMINKAL in 2017. The company has also been recognized by Black Enterprise magazine for its diversity and inclusion programs. | ""Kroger has a longstanding and award-winning history of having an inclusive supplier community and culture that reflects the diversity of our 453,000 associates and the nine million customers we serve every day,"" said Angel Colón, Kroger's senior director of diversity. ""Black Heritage Month allows Kroger to celebrate and share a cultural moment with our diverse suppliers, customers and workforce."" | At The Kroger Co., we are dedicated to our purpose: to  Feed the Human SpiritTM. We are 453,000 associates who serve nearly nine million customers every day in 2,793 retail food stores under a variety of local banner names  in 35 states and the District of Columbia. Our Family of Companies operates an expanding ClickList offering – a personalized order online service – in addition to 2,258 pharmacies, 783 convenience stores, 307 fine jewelry stores, 222 retail health clinics, 1,472 supermarket fuel centers and 38 food production plants in the United States. Our Company has been recognized as one of America's most generous companies for our support of more than 100 Feeding America food bank partners, breast cancer research and awareness, the military and their families, and more than 145,000 community organizations including schools. As a leader in supplier diversity, we are a proud member of the Billion Dollar Roundtable.",3,"84, 59, 150","diversity, Diversity and Inclusion",KR - Kroger Celebrates Black Heritage Month - 07-Feb-18 - PRN.pdf
The Kroger Co.,Human Interest Groups,"""The success of our business is linked to our efforts to encourage diversity throughout Kroger,"" said  Reuben Shaffer, Kroger's chief diversity officer. ""We are honored to receive this recognition and value our membership in the U.S. Hispanic Chamber's Million Dollar Club, which reflects our ongoing commitment to supplier diversity. We look forward to continuing our strong partnerships with Hispanic-owned businesses and their help carrying out our Customer 1st strategy."" | Introduced by the United States Hispanic Chamber of Commerce (USHCC) in 2010, the USHCC Million Dollar Club recognizes corporations that are leaders in supplier diversity and integrating Hispanic Business Enterprises (HBEs) into their strategic sourcing and procurement process. Corporations qualify by spending between $25 million to over  $500 million with Hispanic suppliers, in the previous year. | In addition to supplier diversity, Kroger is also committed to developing a workforce that reflects the communities we serve, and meeting and exceeding the shopper needs of the growing multicultural market. Kroger currently employs nearly 40,000 associates who self-identify as Hispanic or Latino. On September 15, Kroger kicked off its annual celebration of Hispanic Heritage Month, during which customers are invited to celebrate the richness of Latin American culture through special promotions with vendor partners, in-store food sampling and demonstrations, Hispanic Heritage-themed reusable bag giveaways, special events with concert ticket giveaways and a Hispanic Heritage Month-themed direct coupon mailing. More information about Kroger's celebration of Hispanic Heritage Month can be found at www.celebratetheamericas.com.",3,"69, 56, 113","diversity, Chief Diversity Officer",KR - Kroger Honored By Million-Dollar Club Selection - 23-Sep-11 - PRN.pdf
The Kroger Co.,Human Interest Groups,"""Kroger is honored to be selected for membership in the Million Dollar Club,"" said  Reuben Shaffer, Kroger's chief diversity officer. ""Our partnerships with diverse suppliers help us meet our customers' needs and create employment opportunities in the local communities we serve."" | Introduced by the United States Hispanic Chamber of Commerce (USHCC) in 2010, the USHCC Million Dollar Club recognizes corporations that are leaders in supplier diversity and integrating Hispanic Business Enterprises into their strategic sourcing and procurement process. Corporations qualify by spending between $25 million to over  $500 million with Hispanic suppliers in the previous year. | Kroger has been a leader in supplier diversity in all aspects of its business for more than 30 years. Kroger currently spends more than $1 billion annually with diversity businesses and remains a member of the  Billion Dollar Roundtable. | In addition, Kroger's director of corporate supplier diversity,  Denise Thomas, was recently named a 2012 Top 30 Champion of Diversity by DiversityPlus Magazine in recognition of her leadership in growing women and minority-owned business enterprises.",4,"41, 55, 39, 35","diversity, Chief Diversity Officer",KR - Kroger Honored by Third Annual Million-Dollar Club Selection - 05-Oct-12 - PRN.pdf
