identifier,headline,date,source
"000660, 008770, 086790...",Barron's Summary,04-Nov-17,SA
"00G79P, AXP","Resy Expands Brand Programming with Reveal of 2020 Events Lineup Featuring Konbi, Asma Khan, Danny Bowien, Renee Erickson, and More...",22-Jan-20,PRN
"06SR6M, AXP, 09W6VV...",American Express Canada named one of Canada's Best Diversity Employers in 2012,21-Feb-12,CNW
"175, BABA, BATS...",StreetAccount Summary The Economist print edition,13-Sep-18,SA
"6178, 7181, 7182...",StreetAccount Summary The Economist print edition,13-Dec-18,SA
AAL,American Airlines Celebrates 15 Years With Perfect 100 Percent Score on Human Rights Campaign's Corporate Equality Index,05-Dec-16,PMZ
AAL,American Airlines Celebrates Inclusion and Diversity During PRIDE Month in June,31-May-17,PMZ
AAL,American Airlines Celebrates Team Members' Commitment to Diversity and Inclusion With the 10th Annual Earl G. Graves Award Morgan State Un...,27-Sep-18,PMZ
AAL,American Airlines Group Reports Highest Quarterly Profit In Company History,24-Jul-15,PRN
AAL,American Airlines Group Reports Record Fourth Quarter and Full Year Profit,29-Jan-16,PMZ
AAL,American Airlines Group Reports Third,Quarter 2018 Profit - 25-Oct,18
AAL,"American Airlines Group, Inc.(AAL",US) Schedules Annual General Meeting for 12-June-2019 1000 AM ET,01
AAL,"American Airlines Group, Inc.(AAL",US) Schedules Investor Day for 28-September-2017 900 AM ET,21
AAL,"American Airlines Group, Inc.(AAL","US) Schedules J.P. Morgan Aviation, Transportation and Industrials Conference for 5-March-2019 1100 A...",26
AAL,American Airlines Proudly Celebrates Black History Month,02-Feb-15,PRN
AAL,American Airlines Recognizes Four Employees for Their Work in Diversity and Inclusion With Earl G. Graves Award,15-Sep-16,PMZ
AAL,American Airlines Recognizes Four Team Members for Their Commitment to Inclusion & Diversity With Earl G. Graves Award,12-Sep-17,PMZ
AAL,Kerry Philipovitch Announces Retirement American Airlines Realigns Operations and Commercial Leadership Teams,10-Oct-19,PMZ
"AAL, 0CVK87, 070JH5",American Airlines Receives the Top Score of 100 on the Disability Equality Index,13-Jul-16,PMZ
"AAL, AAPL, AMZN...",New York Times Sunday Edition Summary,10-Nov-19,SA
"AAPL, AMZN, BRK.B...",StreetAccount Summary The Economist print edition,01-Feb-18,SA
ABT,Abbott Named to Working Mother Magazine's 'Best Companies' List for Twelve Consecutive Years,18-Sep-12,PRN
ADBE,Adobe Incorporated(ADBE,US) Schedules Q1 2020 Earnings Call for 12-March-2020 500 PM ET,22
ADBE,"Adobe Systems, Inc.(ADBE",US) Schedules Q3 2017 Earnings Call for 19-September-2017 500 PM ET,01
ADBE,"Adobe, Inc.(ADBE",US) Schedules Analyst Meeting for 4-November-2019 500 PM ET,29
ADBE,"Adobe, Inc.(ADBE",US) Schedules Q4 2018 Earnings Call for 13-December-2018 500 PM ET,31
ADBE,Media Alert Adobe Poised to Achieve Pay Parity in U.S. and India,07-Sep-17,BW
ADBE,Media Alert Adobe Releases Diversity Pay Data for U.S. Workforce,25-Jul-16,BW
AF,Air France,KLM SA(AF-FR) Schedules Q4 2019 Earnings Call for 20-February,2020 230 AM ET
AFL,Aflac Amends Employee Benefits to Address COVID,19 Concerns - 13-Mar,20
AFL,"Aflac Incorporated Announces First Quarter Results, Reports First Quarter Net Earnings of $566 Million, Withdraws Annual Adjusted EPS Guida...",29-Apr-20,PRN
AFL,"Aflac Incorporated Announces Fourth Quarter Results, Reports Fourth Quarter Net Earnings of $782 Million, 2019 Adjusted EPS In Line With Up...",04-Feb-20,PRN
AFL,Aflac Incorporated Appears on Fortune's List of World's Most Admired Companies for 19th Time,22-Jan-20,PRN
AFL,Aflac Incorporated Changing 2020 Annual Meeting of Shareholders to Virtual,Only Meeting Format due to COVID-19 - 06,Apr
AFL,Aflac Incorporated Donates $1 Million to Crisis Text Line to Assist Frontline Workers in U.S. Experiencing Emotional Distress,26-May-20,PRN
AFL,Aflac Incorporated Donates $5 Million as Part of Company's Overall COVID,19 Pandemic Response - 14-Apr,20
AFL,Aflac Incorporated Marks 1st Appearance on 2020 Bloomberg Gender,Equality Index - 21-Jan,20
