identifier,headline,date,source,source,subject,relevant_text,paragraphs,word count,keywords,path
ANF,17 Year Old Cali Linstrom Met With Abercrombie & Fitch Executives Yesterday To Discuss Their Relationship With Teens,22-May-13,PRN,America the Beautiful Teen Empowerment Series,"Corporate Social Responsibility, Human Interest Groups","""I want to address some of my comments that have been circulating from a 2006 interview. While I believe this 7 year old, resurrected quote has been taken out of context, I sincerely regret that my choice of words was interpreted in a manner that has caused offense. A&F is an aspirational brand that, like most specialty apparel brands, targets its marketing at a particular segment of customers. However, we care about the broader communities in which we operate and are strongly committed to diversity and inclusion. We hire good people who share these values. We are completely opposed to any discrimination, bullying, derogatory characterizations or other anti-social behavior based on race, gender, body type or other individual characteristics."" | ""We welcomed the opportunity to meet with Cali Linstrom, Benjamin O'Keefe,  Darryl Roberts  of America the Beautiful Teen Empowerment Series and Lynn Grefe, President & CEO of the National Eating Disorder Association to learn about the work they are doing. We look forward to continuing this dialogue and taking concrete steps to demonstrate our commitment to anti-bullying in addition to our ongoing support of diversity and inclusion.",2,"119, 67",Diversity and Inclusion,ANF - 17 Year Old Cali Linstrom Met With Abercrombie & Fitch Executives Yesterday To Discuss Their Relationship With Teens - 22-May-13 - PRN.pdf
"ATUS, 087WZN",2015 Annual Report,30-Dec-15,NEWS_CR,,,"•  other requirements covering a variety of operational areas such as equal employment opportunity, emergency alert  | We have also focused on system reliability and disaster recovery as part of our national backbone and primary system strategy. For  example, to help ensure a high level of reliability in our services, we implemented redundant power capability, as well as fiber route and  carrier diversity in our networks serving most of our customers. With respect to disaster recovery, we invested in our telephone platform  architecture for geo-redundancy to minimize downtime in the event of a disaster to any single facility.",2,"16, 81","Equal Employment Opportunity, diversity","ATUS, 087WZN - 2015 Annual Report - 30-Dec-15 - NEWS_CR.pdf"
"ATUS, 087WZN",2016 Annual Report,30-Dec-16,NEWS_CR,,,"Other FCC Regulatory Matters. FCC regulations cover a variety of additional areas, including, among other things:  equal employment opportunity obligations, customer service standards, technical service standards, mandatory blackouts  of  certain  network  and  syndicated  programming,  restrictions  on  political  advertising,  restrictions  on  advertising  in  children’s  programming,  licensing  of  systems  and  facilities,  maintenance  of  public  files,  emergency  alert  system,  encryption,  disability  access,  including  requirements  governing  video-description  and  closed-captioning,  and  other  reporting and filing requirements. Each of these regulations restricts our business practices to varying degrees. The FCC  can aggressively enforce compliance with its regulations and consumer protection policies, including the imposition of  substantial monetary sanctions. It is possible that Congress or the FCC will expand or modify its regulations of cable  systems in the future, and we cannot predict at this time how that might impact our business. | other requirements covering a variety of operational areas such as equal employment opportunity, emergency  alert systems, disability access, technical standards and customer service and consumer protection requirements.  | We have also focused on system reliability and disaster recovery as part of our national backbone and primary system  strategy. For example, to help ensure a high level of reliability in our services, we implemented redundant power capability,  as well as fiber route and carrier diversity in our networks serving most of our customers. With respect to disaster  recovery, we invested in our telephone platform architecture for geo-redundancy to minimize downtime in the event of  a disaster to any single facility. ",3,"135, 27, 81","Equal Employment Opportunity, diversity","ATUS, 087WZN - 2016 Annual Report - 30-Dec-16 - NEWS_CR.pdf"
AMZN,2018 Special Olympics USA Games Announces New Ways to Support Athletes,6-Jun-18,BW,2018 Special Olympics USA Games,Contract/Agreement,"“Amazon is proud to support the inclusive spirit of the 2018 Special Olympics USA Games,” said Beth Galetti, Amazon’s Senior Vice President for Worldwide Human Resources. “At Amazon, diversity and inclusion are an inherent part of our culture. The unique talents, experiences, and backgrounds of our employees are the driving force which enables us to build and innovate on behalf of millions of customers around the world. We are looking forward to celebrating the 2018 Special Olympics USA Games athletes, their families, and their friends when they join us in Seattle.”",1,91,Diversity and Inclusion,AMZN - 2018 Special Olympics USA Games Announces New Ways to Support Athletes - 06-Jun-18 - BW.pdf
ABT,Abbott Named to Working Mother Magazine's 'Best Companies' List for Twelve Consecutive Years,18-Sep-12,PRN,Abbott,Human Interest Groups,"In addition to recognition from Working Mother  magazine, Abbott also was recently named one of the  2012 Best Companies for Diversity Practices by Hispanic Business magazine, and one of the 2012 Best Adoption-Friendly Workplaces by the Dave Thomas Foundation for Adoption. This is the sixth consecutive year that Abbott has been included on both lists. | Abbott Widely Recognized as a Great Place to Work In addition to being honored for workplace leadership by  Working Mother , Hispanic Business and the Dave Thomas Foundation for Adoption, Abbott has been named to DiversityInc magazine's list of the top companies for diversity for nine years. The National Association for Female Executives again named Abbott among the Top 50 Companies for Executive Women in 2012, and Abbott also has been recognized as a top employer for scientists by Science and The Scientist  magazines for many years. In addition, Abbott has been honored for workplace leadership in more than 25 countries around the world. | About Working Mother Media Working Mother Media, a division of Bonnier Corporation ( bonnier.com), publishes Working Mother magazine and its companion website, workingmother.com, and the Working Mother Research Institute. The National Association for Female Executives (nafe.com ), and Diversity Best Practices (diversitybestpractices.com) are also units within WMM. Working Mother Media's mission is to serve as a champion of culture change. Working Mother  magazine reaches more than 2 million readers and is the only national magazine for career-committed mothers; Workingmother.com gives working mothers @home and @work advice, solutions, and ideas. This year marks the 27th anniversary of the magazine's signature research initiative, Working Mother  100 Best Companies , and the 10th year of the  Best Companies for Multicultural Women.",3,"55, 104, 118",diversity,ABT - Abbott Named to Working Mother Magazine's 'Best Companies' List for Twelve Consecutive Years - 18-Sep-12 - PRN.pdf
ANF,Abercrombie & Fitch and The National Society of High School Scholars (NSHSS) Foundation Announce 2015 Anti,Bullying Scholarship Recipients - 20-May,15,Abercrombie & Fitch Co.,"Not For Profit Organizations, Human Interest Groups","""Once again, we were excited to see so many wonderful programs being initiated in these students' schools and communities to help further educate and bring attention to this cultural issue,"" said John Gabrielli, Senior Vice President, Human Resources and Diversity & Inclusion for Abercrombie & Fitch. ""We commend them for their leadership and their efforts to stop bullying.""",1,58,Diversity & Inclusion,ANF - Abercrombie & Fitch and The National Society of High School Scholars (NSHSS) Foundation Announce 2015 Anti-Bullying Scholarship Recipients - 20-May-15 - PRN.pdf
ANF,Abercrombie & Fitch and The Trevor Project Expand Relationship with Year,Long Partnership - 24-Apr,19,,Partnerships,"Designated  by  the  Human  Rights  Campaign  as  a  “Best  Place  to  Work  for  LGBTQ  Equality”  every  year  for the  past  13  years,  A&F  Co.  is  committed  to  equality  and  is  focused  on  making  a  positive  impact  on  its associates’,  customers’  and  partners’  lives.  Through  this  partnership,  The  Trevor  Project  will  closely collaborate  with  A&F  Co.’s  corporate  teams  on  diversity  and  inclusion  initiatives,  including  LGBTQ- competent associate training, ensuring its LGBTQ customers know they are loved, valued, and never alone.",1,79,diversity,ANF - Abercrombie & Fitch and The Trevor Project Expand Relationship with Year-Long Partnership - 24-Apr-19 - PMZ.pdf
ANF,Abercrombie & Fitch Announces Anti,Bullying Initiatives - 01-Oct,13,Abercrombie & Fitch Co.,"Corporate Social Responsibility, Not For Profit Organizations, Human Interest Groups","""The Are You an Ally?  tour will provide a safe and supportive forum for teens to share their experiences and help them to embrace diversity, expressions of inclusion and openness to change,"" said Todd Corley, Senior Vice President, Diversity & Inclusion, Abercrombie & Fitch. ""Our diversity programs at A&F are designed to align with our company culture and values and have a history of yielding incredible results. This new conference series will be an exceptional fit with the learning's that have come from our internal initiatives."" | Mike Jeffries, CEO, Abercrombie & Fitch, said, ""The diversity of our associates and management is a point of pride for our company, and we continue to look for ways to promote education, leadership and inclusion outside the organization. Anti-bullying is now an integral component of our diversity platform, and we're delighted to lend our support to this important and relevant issue.""",2,"86, 61","Diversity & Inclusion, diversity",ANF - Abercrombie & Fitch Announces Anti-Bullying Initiatives - 01-Oct-13 - PRN.pdf
ANF,ABERCROMBIE & FITCH ANNOUNCES NEW LEADERSHIP FOR ITS DIVERSITY & INCLUSION PROGRAMS,9-Jul-14,NEWS_CR,http://phx.corporate-ir.net/phoenix.zhtml?c=61701&p=RssLanding&cat=news&id=1946187,Company Announcements and Releases,"""As Chief Diversity Officer, Todd Corley created and implemented a transformational framework for our D&I efforts and we are thankful for everything he has contributed over his ten years with A&F,"" said Amy Zehrer. ""We will further enhance the great work that has already been completed under Todd's leadership, such as our stores going from less than ten percent non-white associates to over 50% today.  I look forward to the next stage of our efforts, and am energized to help further this initiative within our Home Office and our 1,000 stores around the world."" | As part of its continuing commitment to diversity and inclusion, Abercrombie & Fitch will assign oversight of its Diversity & Inclusion efforts to Amy Zehrer, Executive Vice President of Stores.  She will assume responsibility for all Home Office efforts and the Company's approximately 100,000 global store associates.  Ms. Zehrer will continue to report to Mike Jeffries, Chief Executive Officer of the Company. | Notable recognition and achievements for the Company's diversity and inclusion efforts include: | Mike Jeffries, CEO of Abercrombie & Fitch, said, ""We are very grateful for the time Todd spent with A&F and all that he has helped achieve. We have accomplished so much, and I am confident that we will continue to maintain our high standards with diversity and inclusion, a cause to which the Company is strongly committed."" | ABERCROMBIE & FITCH ANNOUNCES NEW LEADERSHIP FOR ITS DIVERSITY & INCLUSION PROGRAMS  Wednesday, July 09, 2014 08:30:00 PM (GMT) | ABERCROMBIE & FITCH ANNOUNCES NEW LEADERSHIP FOR ITS DIVERSITY & INCLUSION PROGRAMS | New Albany, OH, July 9, 2014: Abercrombie & Fitch (NYSE: ANF) announced that the Company has reorganized its Diversity & Inclusion structure.  Todd Corley, who has led the Diversity & Inclusion efforts for the Company since 2004, is transitioning from the organization to launch the TAPO Institute, which will focus on inclusive leadership based on principles of transparency, authenticity, persistence, and optimism. | Establishing a Diversity & Inclusion training program with required participation for all Home Office, Distribution Center and Store Management associates. | Achieving significant gender diversity among its senior ranks, with over 40% of the Company's vice presidents, and 75% of executive vice presidents being female. In addition, one-third of directors on the Company's newly-constituted Board of Directors are female; | Establishing the A&F Global Diversity and Leadership scholarship program with the National Society of High School Scholars (NSHSS); and | ""I am proud of the accomplishments we have made together as an organization,"" said Todd Corley. ""The efforts began around race and ethnicity but evolved to include diversity in the way people think, cultural differences, and creating an inclusive place to work.""",11,"94, 62, 12, 57, 19, 12, 62, 20, 38, 19, 42","Chief Diversity Officer, Diversity & Inclusion, Diversity and Inclusion, diversity",ANF - ABERCROMBIE & FITCH ANNOUNCES NEW LEADERSHIP FOR ITS DIVERSITY & INCLUSION PROGRAMS - 09-Jul-14 - NEWS_CR.pdf
ANF,Abercrombie & Fitch Co. Achieves Perfect Score for 14th Consecutive Year on the Human Rights Campaign 2020 Corporate Equality Index,21-Jan-20,PMZ,,Company Announcement,"The  2020  CEI  evaluated  LGBTQ-related  policies  and  practices,  including  non-discrimination  policies, employee benefits, demonstrated organizational competency and accountability around LGBTQ diversity and inclusion, public commitment to LGBTQ equality, and responsible citizenship. A&F Co.’s efforts in satisfying all of the CEI’s criteria resulted in a 100 percent score, as well as the designation as a Best Place to Work for LGBTQ Equality. | “We  are  committed  to  embedding  equality  throughout  our  organization  –  including  our  culture,  values, partnerships, policies and practices,” said Fran Horowitz, Chief Executive Officer at Abercrombie & Fitch Co. “Achieving  a  perfect  score  for  fourteen  consecutive  years  is  a  testament  to  the  values  that  guide  us  as  a company,  and  our  fundamental  belief  that  embracing  diversity  in  all  its  forms  makes  us  stronger.  We  look forward to continued progress throughout 2020.” ",2,"61, 71","Diversity and Inclusion, diversity",ANF - Abercrombie & Fitch Co. Achieves Perfect Score for 14th Consecutive Year on the Human Rights Campaign 2020 Corporate Equality Index - 21-Jan-20 - PMZ.pdf
