identifier,headline,date,source,who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords
VZ,2NDFLOOR Youth Helpline Expands Services in Spanish Throughout New Jersey With the Help of Grants From Verizon,22-Sep-11,INW,,,"About  2NDFLOOR® Youth Helpline  The 2NDFLOOR Youth Helpline is a safe place for New Jersey's youth to turn when everyday problems become difficult or unmanageable. The 24-hour, confidential and anonymous helpline and accompanying online message board is available to more than one million youth ages 10-24 throughout New Jersey. It is operated by 180 Turning Lives Around, Inc., a private Monmouth County nonprofit organization dedicated to serving victims of domestic violence, sexual assault and child abuse. For more information, visit www.2ndfloor.org or call 888-222-2228. To find out more about 180, visit  www.180nj.org or call 732-264-4111. | Verizon is committed to preventing and raising awareness about domestic violence through its efforts throughout communities. Through HopeLine, Verizon collects used cell phones to be recycled or sold and donates the proceeds in the form of cash grants and pre-paid wireless phones to advocacy groups for use by survivors. Verizon was the first wireless carrier in the nation to collect and recycle old cell phones, and has done so on behalf of survivors of domestic violence since January 1999 -- first in New York and then across the U.S. Through UHopeLine, Verizon has also expanded its recycling efforts to college campuses like Rutgers University. Since 2001, HopeLine has collected more than 8 million phones, properly disposed of 1.7 million no-longer-used wireless phones, and kept more than 210 tons of electronic waste and batteries out of landfills. | In addition, proceeds from HopeLine fund a variety of innovative programs. For example, HopeLine recently awarded grants to provide for: the printing of training documents that assist employers in recognizing and addressing the threat of domestic violence in the workplace; video technology that allows domestic violence's youngest victims, children, to participate in legal proceedings from a safe environment; and startup funding for entrepreneurial survivors of domestic violence attempting to establish small businesses and economic stability. | The Verizon Foundation, the philanthropic arm of Verizon, uses its technology, financial resources and partnerships to address critical social issues with a focus on education and domestic violence prevention. In 2010, the foundation awarded nearly $67 million to nonprofit agencies in the U.S. and abroad. Through Verizon Volunteers, one of the nation's largest employee volunteer programs, Verizon employees and retirees | have volunteered nearly 6 million hours of community service since 2000. The Verizon Foundation also supports the advancement of literacy and K-12 education through its free educational website, Verizon Thinkfinity, which furthers the awareness and prevention of domestic violence while providing relief and safety to survivors.",5,"95, 136, 75, 60, 46","domestic violence, sexual assault"
WMT,A Different Kind of Vision Why We're Working to Make Prescription Labels More Accessible,18-Jul-19,NEWS_CR,https://corporate.walmart.com/newsroom/2019/07/18/a-different-kind-of-vision-why-were-working-to-,"Company Announcements and Releases, Events and Transcripts","July 18, 2019  By Russell Shaffer, Director – Culture, Diversity & Inclusion, Walmart | I knew I needed a plan for my life – one that looked different than that of my family and friends – if I was going to be successful. That plan included becoming the first in my family to go to college. I was 17 when I walked into the Walmart store in Fairlawn, Ohio – just a few miles up the road from the optometry clinic where I was diagnosed – looking for my first job as a means of paying my way through school. I never could’ve imagined that one day that cashier job could prepare me for my current role working at Walmart’s headquarters in our Office of Culture, Diversity & Inclusion.",2,"13, 115",Diversity & Inclusion
WMT,Advancing Our Work on Racial Equity,12-Jun-20,NEWS_CR,https://corporate.walmart.com/newsroom/2020/06/12/advancing-our-work-on-racial-equity,"Company Announcements and Releases, Events and Transcripts",,0,0,
"VZ, VOD, VOD",Alabama Universities Team With Verizon Wireless to Increase Awareness of Sexual Assault With the Red Flag Campaign,5-Apr-12,PRN,Verizon Wireless,"Corporate Social Responsibility, Human Interest Groups","Alabama Universities Team With Verizon Wireless to Increase Awareness of Sexual Assault With the Red Flag Campaign  Thursday, April 05, 2012 05:21:49 PM (GMT) | Five universities will initiate the Red Flag Campaign during April to mark Sexual Assault Awareness Month | BIRMINGHAM, Ala. , April 5, 2012 /PRNewswire/ -- In honor of Sexual Assault Awareness Month, Verizon Wireless has teamed up with five universities to bring the Red Flag Campaign to the state of Alabama during the month of April. | The Red Flag Campaign is a program created by students for students and funded by the Verizon Foundation, Verizon Wireless and other community partners. It aims to raise awareness about sexual assault using a ""bystander intervention"" strategy, encouraging friends and other campus community members to ""say something"" when they see warning signs (""red flags"") for dating violence in a friend's relationship. | According to studies from the U.S. Department of Justice, college-age women are four times more likely to be sexually assaulted than the general public, with an estimated one in four female college students becoming victims of sexual assault during their college career. | During the month of April, five  Alabama universities will display Red Flags on their campuses as part of their Sexual Assault Awareness Month activities. The following schools are taking part in the campaign: | The Red Flag Campaign is a project of the Virginia Sexual and Domestic Violence Action Alliance and was created thanks to generous support from the Verizon Foundation. The Action Alliance makes the campaign available nationwide via its website, www.theredflagcampaign.org. The implementation of the campaign on Alabama campuses this April is supported by Verizon Wireless's HopeLine Program. | HopeLine puts Verizon Wireless' technology and the nation's most reliable and largest network to work in communities by turning no-longer-used wireless phones into support for victims of domestic violence. Wireless phones given to HopeLine are refurbished and sold for reuse, generating proceeds for the grant program. Refurbished phones – complete with 3,000 minutes of wireless service – are provided to local domestic violence organizations or local government and law enforcement agencies for use with their domestic violence clients.",8,"24, 16, 39, 61, 42, 33, 56, 78","domestic violence, sexual assault"
"WU, US959802109",Angela A. Sun Appointed to Western Union Board of Directors,19-Jul-18,BW,The Western Union Company,Personnel,"Ms. Sun spent ten years at Bloomberg LP, most recently serving as Head of Strategy and Corporate Development, and was the architect of the Bloomberg Gender Equality Index. Previously, Ms. Sun served as a Senior Policy Advisor for Economic Development in New York during the Bloomberg Administration and as a consultant at McKinsey & Company in the financial services and healthcare sectors.",1,62,gender equality
V,"As She's Next, Empowered by Visa Arrives in Washington, D.C., Women in the Capital Face Funding Challenges and Focus on Diversity",24-Sep-19,BW,Visa Inc.,"Photo/Multimedia, Product/Service, Event","An emphasis on diversity and inclusion:  Eighty-six percent of women-owned small businesses in Washington, D.C. have policies in place to establish diversity and inclusion for attracting and attaining talent – and 95 percent report having inclusive businesses. | As She’s Next, Empowered by Visa Arrives in Washington, D.C., Women in the Capital Face Funding Challenges and Focus on Diversity  Tuesday, September 24, 2019 11:00:00 AM (GMT) | New Visa research highlights a focus on diversity and growing the bottom line among women small business owners in Washington, D.C.",3,"37, 28, 21","diversity, Diversity and Inclusion"
"ARRS, BA, BATRA...",Barron's Summary,#NAME?,18,,"Conjecture, Media Summaries, Barron's Summary, Published Reports","Trader Extra:  Positive on Dollar Tree (DLTR), whose valuation is at a five-year low; The company looks likely to bounce back from its acquisition of Family Dollar, which has dragged on results; If not, an activist investor like Carl Ichan could get involved to force more drastic action. Trader Extra:  Former  Wynn Resorts (WYNN) CEO Steve Wynn, who resigned after sexual misconduct allegations, sold his entire $2.1B interest in the company in March; The well-timed sale saved him $900M.",1,79,sexual misconduct
VZ,BOLT Publishes Infographic Offering Tools to Mitigate Risk of Rapidly Increasing Data Breaches at U.S. Small Business,27-Sep-11,PMZ,,Product / Services Announcement,"BOLT, the Business Owners Liability Team, is a national insurance agency that exclusively protects the owners of small businesses. Business insurance policies offered by BOLT include, but are not limited to, General Liability, Business Property Insurance, Workers' Compensation, Commercial Auto, Umbrella Insurance, Errors and Omissions, Directors and Officers, Business Interruption, Employment Liability, Sexual Harassment and Flood.  These policies are provided by top-rated insurance carriers such as The Hartford, CNA, Liberty Mutual, Zurich, Ace and Chubb. BOLT Insurance Agency is headquartered in Farmington, CT, and is licensed to do business in all fifty states. For additional information, visit the BOLT website at www.boltinsurance.com.",1,102,sexual harassment
"VOYA, 0CVK87",C O R R E C T I O N,#NAME?,Aug,"Voya Financial, Inc.","Corporate Social Responsibility, Human Interest Groups","One in five people in the U.S. will experience a disability during their lifetime. 1  These individuals face significant obstacles in their pursuit of jobs and careers, as U.S. Department of Labor statistics show that only 20.7 percent of people with disabilities participate in today's workforce. Organizations like USBLN are working to break through barriers by connecting this community to leaders in the business world. The organization helps companies identify and draw from the unique strengths and talents of Americans with disabilities to move their business forward and foster diversity and inclusion in the workplace.",1,95,Diversity and Inclusion
"062HGC, URBN",Calvert,"Sponsored Resolution on Board Diversity Nearly Doubles Support at Urban Outfitters, 39% of Shareholders Approve, Versus 22%... - 01-Jun",12,Calvert Investments,Mutual Fund,"In 2004, Calvert developed and launched the Calvert Women’s Principles®, the first global code of corporate conduct focused exclusively on empowering, advancing and investing in women. Today, the Principles form the baseline for an effort by the UN Global Compact and UN Women: the Women’s Empowerment Principles and an initiative with the City of San Francisco’s Department on the Status of Women and Verité: the Gender Equality Principles. | Calvert-Sponsored Resolution on Board Diversity Nearly Doubles Support at Urban Outfitters, 39% of Shareholders Approve, Versus 22% Last Year  Friday, June 01, 2012 12:56:00 PM (GMT) | Calvert Investments, one of the leading managers of sustainable and responsible investments, announced that their shareholder resolution advocating for greater board diversity at Urban Outfitters (URBN) earned 39% of shareholder support this year, up from 22% in 2011. | “This high vote count should send a strong and clear signal to management. Increasingly, shareholders are acknowledging the strong business case for board diversity and expect companies to respond,” said Aditi Mohapatra, Strategic Initiatives Manager at Calvert. “The board has, up to now, resisted making diversity an explicit part of its nominating process. We hope that they will reconsider that position in light of the vote.” | Urban Outfitters does not currently have any women or minorities on its six-person board, an anomaly in an industry which serves women and minorities and whose companies typically have boards that are diverse by race and gender. Calvert’s shareholder resolution asked the company to explicitly consider diversity in its board nominating process, expanding the pool of candidates, as necessary, to include women and minorities. The resolution also directed the company to periodically review its board’s composition to ensure that it continues to be diverse. | Calvert is a leader within the investment community in advocating for corporate diversity. Calvert Investments has been active in promoting board diversity. Since 2002, Calvert has filed 60 resolutions seeking commitments to increase board diversity. As a result, to date 51 companies have either added a diverse candidate to the board or amended director selection criteria to consider diversity.",6,"68, 26, 38, 66, 84, 59","diversity, gender equality"
